id,country,region,year,title,budget,expense,sdg,solution,donors
00044245,Bahrain,AIS,2016,Supporting Governance & Civic Education,260000,161960,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00097390,Bahrain,AIS,2016,Country programme document Implementation Support & Monitoring Project,255000,190451,"Peace, justice, and strong institutions;Partnerships for the goals",Keeping people out of poverty,GOVERNMENT OF BAHRAIN
00059750,Bahrain,AIS,2016,Enhancing Capacity for Global Economic Governance,189716,196494,Reduced inequalities,Others;Keeping people out of poverty,"GOVERNMENT OF BAHRAIN;Ministry of Industry and Commerce,Kingdom of Bahrain"
00060062,Bahrain,AIS,2016,Development of Natl Childhood/Disabilities Strategies,146567,135109,No poverty;Decent work and economic growth,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00080256,Bahrain,AIS,2016,Strengthening Capacity of Special Investigation Unit,47928,27077,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00061812,Bahrain,AIS,2016,Capacity Development Facility Established at BIPA,30573,29437,No poverty;Partnerships for the goals,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00066219,Bahrain,AIS,2016,Gender and Economic Policy Management Initiative - Arab,2801,2732,Gender equality,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00079015,Bahrain,AIS,2016,UNCT Workplan 2014 & 2015,1487,43911,,Others,GOVERNMENT OF BAHRAIN;UNITED NATIONS DEVELOPMENT PRO
00079213,Bahrain,AIS,2017,Bahrain Unit for Sustainable Energy,663155,459714,"No poverty;Sustainable cities and communities;Affordable and clean energy;Industry, innovation and infrastructure",Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00097390,Bahrain,AIS,2017,Country programme document Implementation Support & Monitoring Project,571295,349766,"Peace, justice, and strong institutions;Partnerships for the goals",Keeping people out of poverty,GOVERNMENT OF BAHRAIN
00044245,Bahrain,AIS,2017,Supporting Governance & Civic Education,115441,91180,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00099265,Bahrain,AIS,2017,Bahrain Housing Policy Revision,70000,1524,Sustainable cities and communities;Affordable and clean energy;Decent work and economic growth,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;OFDPM - Office of the First Deputy Prime Minister
00104018,Bahrain,AIS,2017,Bahrain Human Development Report 2018,61800,10072,"No poverty;Decent work and economic growth;Industry, innovation and infrastructure",Keeping people out of poverty,"DERASAT - Bahrain Center for Strategic,International and Energy Studies"
00059750,Bahrain,AIS,2017,Enhancing Capacity for Global Economic Governance,45911,45855,Reduced inequalities,Others;Keeping people out of poverty,"GOVERNMENT OF BAHRAIN;Ministry of Industry and Commerce,Kingdom of Bahrain"
00060062,Bahrain,AIS,2017,Development of Natl Childhood/Disabilities Strategies,42467,35522,No poverty;Decent work and economic growth,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00080256,Bahrain,AIS,2017,Strengthening Capacity of Special Investigation Unit,25923,929,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00099528,Bahrain,AIS,2017,Middle East and North Africa Administration Research institutionalization,25750,5225,Partnerships for the goals;Good health and well-being,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00061812,Bahrain,AIS,2017,Capacity Development Facility Established at BIPA,5446,0,No poverty;Partnerships for the goals,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00079213,Bahrain,AIS,2018,Bahrain Unit for Sustainable Energy,1166382,1129083,"No poverty;Sustainable cities and communities;Affordable and clean energy;Industry, innovation and infrastructure",Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00097390,Bahrain,AIS,2018,Country programme document Implementation Support & Monitoring Project,535000,526322,"Peace, justice, and strong institutions;Partnerships for the goals",Keeping people out of poverty,GOVERNMENT OF BAHRAIN
00104018,Bahrain,AIS,2018,Bahrain Human Development Report 2018,159928,152390,"No poverty;Decent work and economic growth;Industry, innovation and infrastructure",Keeping people out of poverty,"DERASAT - Bahrain Center for Strategic,International and Energy Studies"
00099265,Bahrain,AIS,2018,Bahrain Housing Policy Revision,158625,147656,Sustainable cities and communities;Affordable and clean energy;Decent work and economic growth,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;OFDPM - Office of the First Deputy Prime Minister
00099528,Bahrain,AIS,2018,Middle East and North Africa Administration Research institutionalization,134710,92155,Partnerships for the goals;Good health and well-being,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00099264,Bahrain,AIS,2018,Support to Bah 2018 SDGs VNR Process,110000,51305,Partnerships for the goals,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00099267,Bahrain,AIS,2018,Strategic Positioning & Partnership,92893,84460,Partnerships for the goals,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00066219,Bahrain,AIS,2018,Gender and Economic Policy Management Initiative - Arab,80068,2486,Gender equality,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00109367,Bahrain,AIS,2018,Support to King Hamad Award,76780,31538,Quality education,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of Youth and Sport Affairs
00044245,Bahrain,AIS,2018,Supporting Governance & Civic Education,30879,30868,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance",Bahrain Institute for Politica;GOVERNMENT OF BAHRAIN
00080256,Bahrain,AIS,2018,Strengthening Capacity of Special Investigation Unit,21995,5410,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00060062,Bahrain,AIS,2018,Development of Natl Childhood/Disabilities Strategies,6942,0,No poverty;Decent work and economic growth,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00061812,Bahrain,AIS,2018,Capacity Development Facility Established at BIPA,5446,5356,No poverty;Partnerships for the goals,Others;Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00079213,Bahrain,AIS,2019,Bahrain Unit for Sustainable Energy,2125777,1230132,"No poverty;Sustainable cities and communities;Affordable and clean energy;Industry, innovation and infrastructure",Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00097390,Bahrain,AIS,2019,Country programme document Implementation Support & Monitoring Project,497862,384098,"Peace, justice, and strong institutions;Partnerships for the goals",Keeping people out of poverty,GOVERNMENT OF BAHRAIN
00120246,Bahrain,AIS,2019,State of Arab Cities Report 2020,332540,23822,"Decent work and economic growth;Industry, innovation and infrastructure",Keeping people out of poverty,"DERASAT - Bahrain Center for Strategic,International and Energy Studies"
00080256,Bahrain,AIS,2019,Strengthening Capacity of Special Investigation Unit,165657,46170,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00066219,Bahrain,AIS,2019,Gender and Economic Policy Management Initiative - Arab,142342,1545,Gender equality,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00113912,Bahrain,AIS,2019,Support to Innovation Lab at BIPA,99646,45143,Partnerships for the goals,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00099264,Bahrain,AIS,2019,Support to Bah 2018 SDGs VNR Process,48682,30680,Partnerships for the goals,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00099528,Bahrain,AIS,2019,Middle East and North Africa Administration Research institutionalization,17685,34982,Partnerships for the goals;Good health and well-being,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00099265,Bahrain,AIS,2019,Bahrain Housing Policy Revision,10912,2808,Sustainable cities and communities;Affordable and clean energy;Decent work and economic growth,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;OFDPM - Office of the First Deputy Prime Minister
00109367,Bahrain,AIS,2019,Support to King Hamad Award,9270,4123,Quality education,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of Youth and Sport Affairs
00099267,Bahrain,AIS,2019,Strategic Positioning & Partnership,7107,0,Partnerships for the goals,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00060062,Bahrain,AIS,2019,Development of Natl Childhood/Disabilities Strategies,5752,4885,No poverty;Decent work and economic growth,"Others;Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of  Social  developme
00104018,Bahrain,AIS,2019,Bahrain Human Development Report 2018,3729,7657,"No poverty;Decent work and economic growth;Industry, innovation and infrastructure",Keeping people out of poverty,"DERASAT - Bahrain Center for Strategic,International and Energy Studies"
00079213,Bahrain,AIS,2020,Bahrain Unit for Sustainable Energy,1083901,1241529,"No poverty;Sustainable cities and communities;Affordable and clean energy;Industry, innovation and infrastructure",Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00097390,Bahrain,AIS,2020,Country programme document Implementation Support & Monitoring Project,535000,162227,"Peace, justice, and strong institutions;Partnerships for the goals",Keeping people out of poverty,GOVERNMENT OF BAHRAIN
00120246,Bahrain,AIS,2020,State of Arab Cities Report 2020,501209,127585,"Decent work and economic growth;Industry, innovation and infrastructure",Keeping people out of poverty,"DERASAT - Bahrain Center for Strategic,International and Energy Studies"
00122153,Bahrain,AIS,2020,2030 agenda promotion & SDGs,231433,23484,Partnerships for the goals,Keeping people out of poverty,University of Bahrain
00066219,Bahrain,AIS,2020,Gender and Economic Policy Management Initiative - Arab,113015,8760,Gender equality,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00088020,Bahrain,AIS,2020,Engagement Facility,100659,114220,"Decent work and economic growth;Industry, innovation and infrastructure",Keeping people out of poverty,UNITED NATIONS DEVELOPMENT PRO
00113912,Bahrain,AIS,2020,Support to Innovation Lab at BIPA,70174,72971,Partnerships for the goals,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00099267,Bahrain,AIS,2020,Strategic Positioning & Partnership,47100,18137,Partnerships for the goals,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00080256,Bahrain,AIS,2020,Strengthening Capacity of Special Investigation Unit,35444,-221,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00099264,Bahrain,AIS,2020,Support to Bah 2018 SDGs VNR Process,27987,7103,Partnerships for the goals,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00109367,Bahrain,AIS,2020,Support to King Hamad Award,26497,29,Quality education,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of Youth and Sport Affairs
00079213,Bahrain,AIS,2021,Bahrain Unit for Sustainable Energy,1258126,178699,"No poverty;Sustainable cities and communities;Affordable and clean energy;Industry, innovation and infrastructure",Close the energy gap,GOVERNMENT OF BAHRAIN;Office of Minister of Energy
00122153,Bahrain,AIS,2021,2030 agenda promotion & SDGs,358241,0,Partnerships for the goals,Keeping people out of poverty,University of Bahrain
00097390,Bahrain,AIS,2021,Country programme document Implementation Support & Monitoring Project,243296,49039,"Peace, justice, and strong institutions;Partnerships for the goals",Keeping people out of poverty,GOVERNMENT OF BAHRAIN
00066219,Bahrain,AIS,2021,Gender and Economic Policy Management Initiative - Arab,111054,0,Gender equality,Strenghten gender equality and the empowerment of women and girls,GOVERNMENT OF BAHRAIN;University of Bahrain
00120246,Bahrain,AIS,2021,State of Arab Cities Report 2020,109397,58760,"Decent work and economic growth;Industry, innovation and infrastructure",Keeping people out of poverty,"DERASAT - Bahrain Center for Strategic,International and Energy Studies"
00080256,Bahrain,AIS,2021,Strengthening Capacity of Special Investigation Unit,70421,4843,"Peace, justice, and strong institutions","Strengthen effective, inclusive and accountable governance","GOVERNMENT OF BAHRAIN;GOVERNMENT OF NETHERLANDS;Public Prosecution, Kingdom of"
00099267,Bahrain,AIS,2021,Strategic Positioning & Partnership,27531,0,Partnerships for the goals,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00113912,Bahrain,AIS,2021,Support to Innovation Lab at BIPA,27485,14762,Partnerships for the goals,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;The institute of public administration
00109367,Bahrain,AIS,2021,Support to King Hamad Award,26530,0,Quality education,"Strengthen effective, inclusive and accountable governance",GOVERNMENT OF BAHRAIN;Ministry of Youth and Sport Affairs
00099264,Bahrain,AIS,2021,Support to Bah 2018 SDGs VNR Process,20884,0,Partnerships for the goals,Keeping people out of poverty,GOVERNMENT OF BAHRAIN;TAMKEEN(Labour Fund)
00088020,Bahrain,AIS,2021,Engagement Facility,0,-29635,"Decent work and economic growth;Industry, innovation and infrastructure",Keeping people out of poverty,UNITED NATIONS DEVELOPMENT PRO
00051479,Barbados,Caribbean,2012,Regional Risk Reduction Initiative,4143904,3920835,Climate action,Others,EUROPEAN COMMISSION;UNDETERMINED;UNITED NATIONS DEVELOPMENT PRO
00051467,Barbados,Caribbean,2012,Enhancing Caribbean Resilience,2470440,1874702,Climate action,Others,"GOVERNMENT OF ITALY;UNITED NATIONS EDUCATIONAL, SCIENTIFIC & CULTURAL ORGANIZATION"
00051472,Barbados,Caribbean,2012,Youth-Innovation Caribbean Network for Youth Development,1182592,1306346,No poverty,Others,GOVERNMENT OF ITALY;GOVERNMENT OF NORWAY;UNITED NATIONS DEVELOPMENT PRO
