Field_Name,Description,Temporal,Band,Name,Unit,Desc_long,Source_Name,Source_Link
6c7,Irrigation Water Use (Consumed) - model pcr,,5,Water Use,km3 yr-1,"Sectoral water withdrawal dataset for the period 1971–2010, which distinguishes six water use sectors, i.e., irrigation, domestic, electricity generation (cooling of thermal power plants), livestock, mining, and manufacturing.",Huang et al. (2018),https://www.osti.gov/biblio/1437041
6c8,Irrigation Water Use (Consumed) - model watergap,,1,Water Use,km3 yr-1,,Huang et al. (2018),https://www.osti.gov/biblio/1437042
6c9,Irrigation Water Use (Withdrawn) - model h08,,1,Water Use,km3 yr-1,,Huang et al. (2018),https://www.osti.gov/biblio/1437043
6c10,Irrigation Water Use (Withdrawn) - model lpjml,,1,Water Use,km3 yr-1,,Huang et al. (2018),https://www.osti.gov/biblio/1437044
6c11,Irrigation Water Use (Withdrawn) - model pcrglobwb,,6,Water Use,km3 yr-1,"Sectoral water withdrawal dataset for the period 1971–2010, which distinguishes six water use sectors, i.e., irrigation, domestic, electricity generation (cooling of thermal power plants), livestock, mining, and manufacturing.",Huang et al. (2018),https://www.osti.gov/biblio/1437045
6c12,Irrigation Water Use (Withdrawn) - model watergap,,1,Water Use,km3 yr-1,,Huang et al. (2018),https://www.osti.gov/biblio/1437046
6c15,Manufacturing Water Use (Consumed),,9,Water Use,km3 yr-1,"Sectoral water withdrawal dataset for the period 1971–2010, which distinguishes six water use sectors, i.e., irrigation, domestic, electricity generation (cooling of thermal power plants), livestock, mining, and manufacturing.",Huang et al. (2018),https://www.osti.gov/biblio/1437049
6c16,Manufacturing Water Use (Withdrawn),,10,Water Use,km3 yr-1,"Sectoral water withdrawal dataset for the period 1971–2010, which distinguishes six water use sectors, i.e., irrigation, domestic, electricity generation (cooling of thermal power plants), livestock, mining, and manufacturing.",Huang et al. (2018),https://www.osti.gov/biblio/1437050
6c17,Mining Water Use (Consumed),,11,Water Use,km3 yr-1,"Sectoral water withdrawal dataset for the period 1971–2010, which distinguishes six water use sectors, i.e., irrigation, domestic, electricity generation (cooling of thermal power plants), livestock, mining, and manufacturing.",Huang et al. (2018),https://www.osti.gov/biblio/1437051
6c18,Mining Water Use (Withdrawn),,12,Water Use,km3 yr-1,"Sectoral water withdrawal dataset for the period 1971–2010, which distinguishes six water use sectors, i.e., irrigation, domestic, electricity generation (cooling of thermal power plants), livestock, mining, and manufacturing.",Huang et al. (2018),https://www.osti.gov/biblio/1437052
7a1,predicted low-voltage infrastructure in kilometres,,1,Predicted Low-voltage Infrastructure,% (maybe),"Composite map of the global power system, modeled.",Arderne et al. (2020),https://www.nature.com/articles/s41597-019-0347-4#citeas
7d1,Biofuels Development Potential Index,,1,Development Potential Index,Index,"Biofuels expansion global land suitability maps, referred to as “development potential indices” (DPIs)Created through spatial multi-criteria decision analysis techniques that accounted for both resource potential and development feasibility.",Oakleaf et al. (2019),https://www.nature.com/articles/s41597-019-0084-8
7d3,Conventional Gas Development Potential Index,,3,Development Potential Index,Index,"Conventional gas global land suitability maps, referred to as “development potential indices” (DPIs). Created through spatial multi-criteria decision analysis techniques that accounted for both resource potential and development feasibility.",Oakleaf et al. (2019),https://www.nature.com/articles/s41597-019-0084-8
7d4,Conventional Oil Development Potential Index,,4,Development Potential Index,Index,"Conventional oil global land suitability maps, referred to as “development potential indices” (DPIs). Created through spatial multi-criteria decision analysis techniques that accounted for both resource potential and development feasibility.",Oakleaf et al. (2019),https://www.nature.com/articles/s41597-019-0084-8
7d5,Crop Expansion Development Potential Index,,5,Development Potential Index,Index,"Crop expansion global land suitability maps, referred to as “development potential indices” (DPIs). Created through spatial multi-criteria decision analysis techniques that accounted for both resource potential and development feasibility.",Oakleaf et al. (2019),https://www.nature.com/articles/s41597-019-0084-8
7d6,Concentrated Solar Power Development Potential Index,,6,Development Potential Index,Index,"Concentrated solar power global land suitability maps, referred to as “development potential indices” (DPIs). Created through spatial multi-criteria decision analysis techniques that accounted for both resource potential and development feasibility.",Oakleaf et al. (2019),https://www.nature.com/articles/s41597-019-0084-8
7d7,Hydroelectric Development Potential Index,,7,Development Potential Index,Index,"Hydropower global land suitability maps, referred to as “development potential indices” (DPIs). Created through spatial multi-criteria decision analysis techniques that accounted for both resource potential and development feasibility.",Oakleaf et al. (2019),https://www.nature.com/articles/s41597-019-0084-8
7d8,Metallic Mining Development Potential Index,,8,Development Potential Index,Index,"Metallic mining global land suitability maps, referred to as “development potential indices” (DPIs). Created through spatial multi-criteria decision analysis techniques that accounted for both resource potential and development feasibility.",Oakleaf et al. (2019),https://www.nature.com/articles/s41597-019-0084-8
7d9,Non-metallic Mining Development Potential Index,,9,Development Potential Index,Index,"Non-metallic mining global land suitability maps, referred to as “development potential indices” (DPIs). Created through spatial multi-criteria decision analysis techniques that accounted for both resource potential and development feasibility.",Oakleaf et al. (2019),https://www.nature.com/articles/s41597-019-0084-8
7d10,Photovoltaic Solar Power Development Potential Index,,10,Development Potential Index,Index,"Photovoltaic solar power global land suitability maps, referred to as “development potential indices” (DPIs). Created through spatial multi-criteria decision analysis techniques that accounted for both resource potential and development feasibility.",Oakleaf et al. (2019),https://www.nature.com/articles/s41597-019-0084-8
7d12,Unconventional Oil Development Potential Index,,12,Development Potential Index,Index,"Unconventional oil global land suitability maps, referred to as “development potential indices” (DPIs). Created through spatial multi-criteria decision analysis techniques that accounted for both resource potential and development feasibility.",Oakleaf et al. (2019),https://www.nature.com/articles/s41597-019-0084-8
7d13,Wind Power Development Potential Index,,13,Development Potential Index,Index,"Wind power global land suitability maps, referred to as “development potential indices” (DPIs). Created through spatial multi-criteria decision analysis techniques that accounted for both resource potential and development feasibility.",Oakleaf et al. (2019),https://www.nature.com/articles/s41597-019-0084-8
